album,track_number,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,popularity,album_order,release_date,plays,relative plays per album
Alligator,4,Looking for Astronauts,spotify:track:3tMfguPHt0N194ZVMDTdfp,203160,0.0672,0.499,0.859,0.0777,0.205,-6.465,0.0349,138.564,0.889,4,4,35,2,2005-04-11,3060502,4.629218239068616
Alligator,5,Daughters of the Soho Riots,spotify:track:2LrR7LR3weKEcmpMXAiA6Y,238573,0.645,0.563,0.444,0.712,0.125,-12.543,0.0314,85.999,0.309,9,4,37,2,2005-04-11,4540408,6.867677108661605
Alligator,6,Baby We'll Be Fine,spotify:track:4w9l5SLRm9BY3kyeECCpcA,201533,0.333,0.46,0.829,0.0748,0.035,-6.948,0.0388,125.112,0.404,4,4,36,2,2005-04-11,3649350,5.519891044261711
Alligator,7,Friend of Mine,spotify:track:1EH0iG6Wtyur2UjnHX2vBg,205253,0.343,0.655,0.935,0.013,0.144,-5.526,0.0426,127.44,0.815,0,4,33,2,2005-04-11,2692174,4.072096990476174
Alligator,8,Val Jester,spotify:track:6yPYdOfxEbfI9FefDkHWVr,180653,0.713,0.473,0.457,0.876,0.0819,-11.373,0.0275,114.333,0.0618,11,3,32,2,2005-04-11,2389235,3.6138810689949246
Alligator,9,All the Wine,spotify:track:3ozTt0Quc33a8ZyD8a44xC,195320,0.000744,0.604,0.853,0.0534,0.0995,-4.84,0.0265,119.996,0.635,0,4,44,2,2005-04-11,7576121,11.459400292694061
Alligator,10,Abel,spotify:track:0XKXeiNCDf9jlK1YmkM1cX,217026,0.000348,0.342,0.944,0.256,0.0848,-3.873,0.0489,158.807,0.413,0,4,44,2,2005-04-11,6708282,10.146734551134323
Alligator,11,The Geese of Beverly Road,spotify:track:6WunHEoxTFHMXeWYKrRhew,296786,0.0502,0.538,0.801,0.174,0.11,-7.026,0.0298,107.558,0.361,5,4,36,2,2005-04-11,3217581,4.866810951563056
Alligator,12,City Middle,spotify:track:04I3nDxLwzPTNVN3m0FfaH,267586,0.87,0.529,0.508,0.0318,0.141,-8.655,0.0379,141.926,0.379,7,3,34,2,2005-04-11,2652350,4.011860471384644
Alligator,13,Mr. November,spotify:track:6GmoLmBISzLomNjM18dFgz,240493,0.0234,0.416,0.879,1.74e-06,0.183,-4.187,0.0453,146.166,0.706,7,4,48,2,2005-04-11,11367398,17.193965614906347
Boxer,1,Fake Empire,spotify:track:7hanhZrUArC9qUerln4jh1,205040,0.143,0.325,0.768,0.909,0.0731,-6.791,0.0334,101.961,0.311,0,3,49,3,2007-05-21,40171669,25.260817321069887
Boxer,2,Mistaken for Strangers,spotify:track:2d60QBTD1OIpbb1YxlllM8,210960,0.0532,0.539,0.925,0.87,0.298,-5.303,0.0313,133.008,0.751,5,4,42,3,2007-05-21,15719873,9.884997313988094
Boxer,3,Brainy,spotify:track:3H7KmznqFVV51IQEYHyIzz,198133,0.0305,0.505,0.823,0.731,0.104,-8.308,0.0389,169.967,0.762,9,4,35,3,2007-05-21,8005891,5.034278014274127
Boxer,4,Squalor Victoria,spotify:track:5yn98oq8iLbdBA31NnLM96,179333,0.179,0.553,0.726,0.883,0.157,-6.778,0.0331,132.989,0.827,4,4,33,3,2007-05-21,6611856,4.157678551250132
Boxer,5,Green Gloves,spotify:track:265fydm3D52fct4xN6FcEg,219466,0.682,0.534,0.408,0.891,0.133,-10.448,0.031,153.989,0.394,2,4,35,3,2007-05-21,8575874,5.392695695130637
Boxer,6,Slow Show,spotify:track:7s97wgRDIbCJwuD46ySBYs,248266,0.658,0.575,0.695,0.861,0.148,-8.387,0.032,150.023,0.512,4,4,44,3,2007-05-21,21795721,13.705622401748023
Boxer,7,Apartment Story,spotify:track:558XMczFvyHKnUzGNqVJbK,212533,0.00837,0.55,0.836,0.758,0.0934,-5.485,0.0362,141.988,0.787,11,4,37,3,2007-05-21,9069977,5.7033983851481365
Boxer,8,Start a War,spotify:track:0Ud4huDX9IlaKZl4xVj4JR,196400,0.875,0.655,0.445,0.634,0.115,-12.06,0.0274,130.014,0.14,0,4,41,3,2007-05-21,13973435,8.786799196290405
Boxer,9,Guest Room,spotify:track:0ZwojfmtTClyD1I6ZCHagP,198933,0.119,0.576,0.625,0.889,0.14,-7.541,0.028,135.95,0.546,9,4,32,3,2007-05-21,5691351,3.5788450293436505
Boxer,10,Racing Like a Pro,spotify:track:3YLXwNoinuYcHZZDqVBDyv,204240,0.932,0.353,0.39,0.667,0.09,-9.771,0.0293,94.156,0.107,10,4,32,3,2007-05-21,5441227,3.4215616296518108
Boxer,11,Ada,spotify:track:1lNiYx6MXLqkzbqhzcVIm2,243200,0.641,0.557,0.505,0.883,0.103,-9.617,0.0296,116.942,0.144,7,4,36,3,2007-05-21,7359820,4.628014547664339
Boxer,12,Gospel,spotify:track:5SA1pmhLHV02cWxPm1t6q3,269200,0.828,0.575,0.309,0.511,0.107,-12.372,0.0272,83.013,0.22,0,4,39,3,2007-05-21,16610896,10.445291914440759
High Violet,1,Terrible Love,spotify:track:6pUAg3OgdO2kQ4lub9Tb5m,279760,0.55,0.304,0.795,0.724,0.118,-6.023,0.0554,79.884,0.35,7,4,41,4,2010-05-10,23981599,10.623384720833096
High Violet,2,Sorrow,spotify:track:30YMGz5pjtRaIjtQcpjn01,205213,0.172,0.55,0.74,0.663,0.0584,-8.83,0.0274,122.277,0.522,1,4,39,4,2010-05-10,23032229,10.20283216499988
High Violet,3,Anyone's Ghost,spotify:track:6NrjC9PUZo2do7aLhkf373,174173,0.281,0.745,0.789,0.769,0.108,-7.132,0.0917,120.061,0.744,6,4,35,4,2010-05-10,17302395,7.664626477859919
High Violet,4,Little Faith,spotify:track:2kAu35H96f9hG3J96zfQOt,276640,0.418,0.419,0.725,0.128,0.0776,-7.729,0.0359,149.991,0.338,7,4,31,4,2010-05-10,11073870,4.905510318911262
High Violet,5,Afraid of Everyone,spotify:track:3PDnTRxUNjxzF1OTd0amO8,259093,0.504,0.527,0.779,0.803,0.0996,-7.638,0.0508,126.026,0.239,9,4,34,4,2010-05-10,14343894,6.3540677315490735
High Violet,6,Bloodbuzz Ohio,spotify:track:3lnF83kG6ePhTSWRoW62dO,275933,0.0558,0.402,0.835,0.18,0.103,-6.367,0.043,157.066,0.69,9,4,48,4,2010-05-10,47072865,20.85236913547087
High Violet,7,Lemonworld,spotify:track:74UpwsEQCA36fE5hUmLGyT,203733,0.63,0.648,0.745,0.712,0.0901,-8.546,0.0358,126.008,0.589,1,4,39,4,2010-05-10,17223543,7.629696566305351
High Violet,8,Runaway,spotify:track:7DUwey3WJDVU6IO3ZGqmTC,333786,0.868,0.583,0.441,0.557,0.117,-10.318,0.0325,135.019,0.343,4,3,39,4,2010-05-10,21034278,9.31777849837935
High Violet,9,Conversation 16,spotify:track:5M9U88s5o3qNFN8vq2Z9yb,258933,0.608,0.554,0.851,0.912,0.24,-7.61,0.0368,116.978,0.516,11,4,36,4,2010-05-10,15596550,6.9089701219551465
High Violet,10,England,spotify:track:3KpJsilpYiHAVEMoCKYjFv,340186,0.702,0.49,0.646,0.821,0.106,-8.956,0.04,122.96,0.266,0,4,39,4,2010-05-10,20885764,9.251989667599977
High Violet,11,Vanderlyle Crybaby Geeks,spotify:track:7e6b9qDllAbLtEYHo7Stch,252200,0.702,0.464,0.513,0.000115,0.174,-7.683,0.0284,117.935,0.308,9,3,35,4,2010-05-10,14196499,6.288774596136077
Trouble Will Find Me,1,I Should Live in Salt,spotify:track:4kFmM894Q4sgHDl4pZalza,248043,0.181,0.519,0.612,7.08e-06,0.105,-7.1,0.0254,134.046,0.158,5,4,54,5,2013-05-20,41048985,9.94963134540916
Trouble Will Find Me,2,Demons,spotify:track:2yKczCmnpWYuIJuel6M0eV,211546,0.103,0.54,0.773,0.861,0.0839,-6.327,0.0405,149.882,0.417,4,1,46,5,2013-05-20,20718026,5.021725163353051
Trouble Will Find Me,3,Don't Swallow the Cap,spotify:track:3l3SbRkrK1aQ5Dk1h7vroV,285533,0.396,0.45,0.661,0.0362,0.0912,-8.537,0.0411,173.909,0.476,5,4,56,5,2013-05-20,45572347,11.046023481337311
Trouble Will Find Me,4,Fireproof,spotify:track:5qv92QoJH3gi2axKlHnayD,178106,0.959,0.483,0.473,0.00944,0.114,-10.539,0.0358,116.021,0.315,3,4,47,5,2013-05-20,22400844,5.429613902171289
Trouble Will Find Me,5,Sea of Love,spotify:track:1nXasqw1Y79vUwGFtrwD6p,221440,0.139,0.459,0.824,0.902,0.118,-6.301,0.036,146.009,0.526,0,4,47,5,2013-05-20,18772616,4.550188234591659
Trouble Will Find Me,6,Heavenfaced,spotify:track:5duVSbRsdK2QkVgLsoVDem,263200,0.645,0.505,0.496,0.285,0.0887,-9.428,0.0366,160.125,0.164,0,3,45,5,2013-05-20,17798164,4.313996324760109
Trouble Will Find Me,7,This is the Last Time,spotify:track:70ZuQywnmOpqcIiEnUA5yV,283386,0.655,0.503,0.495,0.373,0.0934,-10.251,0.0328,140.032,0.133,0,4,54,5,2013-05-20,39385694,9.546475645697292
Trouble Will Find Me,8,Graceless,spotify:track:52m3svaHBHJIySJGaUL4IB,275400,0.152,0.441,0.851,0.738,0.109,-6.365,0.168,171.977,0.366,1,4,52,5,2013-05-20,27834634,6.746679532621611
Trouble Will Find Me,9,Slipped,spotify:track:4MBStyWbpr6vBEviGvUNFF,265066,0.774,0.452,0.423,0.00446,0.0952,-10.165,0.0357,116.133,0.157,1,4,44,5,2013-05-20,14850562,3.5995437444346585
Trouble Will Find Me,10,I Need My Girl,spotify:track:50M7nY1oQuNHecs0ahWAtI,245240,0.865,0.52,0.436,0.0651,0.123,-11.508,0.0355,126.053,0.114,0,4,65,5,2013-05-20,116835485,28.319092513787652
Trouble Will Find Me,11,Humiliation,spotify:track:7mxVCiILTA07FmLly7xvpm,300733,0.782,0.47,0.7,0.244,0.255,-8.6,0.0425,167.749,0.446,5,4,45,5,2013-05-20,13232209,3.20728031242198
Trouble Will Find Me,12,Pink Rabbits,spotify:track:1oNDnnBojo1hkFATFEp1CM,276200,0.799,0.502,0.656,0.109,0.0895,-7.34,0.0435,110.157,0.275,9,4,50,5,2013-05-20,20300081,4.920421838248739
Trouble Will Find Me,13,Hard to Find,spotify:track:4hizMtcebzlqsZqp1Y6yJo,253454,0.794,0.488,0.514,0.00508,0.0979,-12.021,0.0309,114.079,0.104,8,5,45,5,2013-05-20,13818252,3.3493279611654905
